价格表,V码,规格,价格
综合业务组Q3,1003001461,1×3×12,69.6
综合业务组Q3,1003002299,1×3×12,69.6
综合业务组Q3,T0131,1×12×30,225
综合业务组Q3,T0138B,1×12×30,225
综合业务组Q3,T0138D,1×36×10,225
综合业务组Q3,T0143G,1×12×30,225
综合业务组Q3,T0166,1×12×30,225
综合业务组Q3,T1177,1×3×6,330
综合业务组Q3,T1178-A,1×20×4×20,484
综合业务组Q3,T1191,1×6,159
综合业务组Q3,T2222,1×4×10,185
综合业务组Q3,T2274,1×4×8,184
综合业务组Q3,T2275,1×4×16,232
综合业务组Q3,T2275-C,1×18,56
综合业务组Q3,T2275J,1×6×10,190
综合业务组Q3,T2280,1×4×16,232
综合业务组Q3,T2280-A,1×16,50
综合业务组Q3,T2281,1×4×16,232
综合业务组Q3,T2284,1×4×16,232
综合业务组Q3,T2284-A,1×16,50
综合业务组Q3,T2367,1×8×8,200
综合业务组Q3,T2898,1×18,43
综合业务组Q3,T2898A,1×10×6,144
综合业务组Q3,T2898C,1×4×20,190
综合业务组Q3,T3002,12×10×6,168
综合业务组Q3,T3003,1×10×10×6,180
综合业务组Q3,T3009,40×20,160
综合业务组Q3,T3014,80×12,162
综合业务组Q3,T3016,6×6×30,195
综合业务组Q3,T3410,180×4,142
综合业务组Q3,T3412,10×60,156
综合业务组Q3,T3413A,40×5×4,156
综合业务组Q3,T3418,40×16,128
综合业务组Q3,T3418-A,40×8,59
综合业务组Q3,T3419,7×6×30,240
综合业务组Q3,T3421,80×12,180
综合业务组Q3,T4680,1×10×6,156
综合业务组Q3,T4680-A,1×16,48
综合业务组Q3,T4681-A,1×24,58.5
综合业务组Q3,T4682,1×10×6,156
综合业务组Q3,T4682-A,1×16,48
综合业务组Q3,T9666,1×10,149
综合业务组Q3,T9688-A,1×9,46.9
综合业务组Q3,V0005,1×10×30,138
综合业务组Q3,V0012-4,1×12×36,144
综合业务组Q3,V0036,1×12×30,150
综合业务组Q3,V0036A,1×18×20,160
综合业务组Q3,V0036C,1×36×10,150
综合业务组Q3,V0038,1×12×30,150
综合业务组Q3,V0068,1×10×40,104
综合业务组Q3,V0083,1×24×12,96
综合业务组Q3,V0123,1×10×45,117
综合业务组Q3,V0165,1×48×8,96
综合业务组Q3,V0166A,1×30×24,192
综合业务组Q3,V0169,1×24×12,96
